DATAFLOW,MEASURE,REGIONTYPE,LGA_2018,FREQUENCY,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,OBS_STATUS,OBS_COMMENT
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,10050,A,2016,9.8,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,10130,A,2016,10.7,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,10250,A,2016,16.1,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,10300,A,2016,35.6,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,10470,A,2016,15.4,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,10550,A,2016,17.9,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,10600,A,2016,17.7,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,10650,A,2016,15.9,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,10750,A,2016,18.5,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,10800,A,2016,20.5,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,10850,A,2016,23.7,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,10900,A,2016,29.1,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,10950,A,2016,31.6,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,11150,A,2016,24.7,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,11200,A,2016,39.6,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,11250,A,2016,4.5,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,11300,A,2016,10.8,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,11350,A,2016,16.7,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,11400,A,2016,22.1,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,11450,A,2016,24.7,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,11500,A,2016,24,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,11520,A,2016,11,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,11570,A,2016,12.7,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,11600,A,2016,31,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,11650,A,2016,28.3,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,11700,A,2016,115,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,11720,A,2016,26.9,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,11730,A,2016,16.6,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,11750,A,2016,15.3,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,11800,A,2016,12.3,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,12000,A,2016,29.4,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,12150,A,2016,23.5,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,12160,A,2016,15.3,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,12350,A,2016,13.8,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,12380,A,2016,13.6,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,12390,A,2016,10.9,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,12700,A,2016,32.8,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,12730,A,2016,13.2,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,12750,A,2016,17.5,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,12850,A,2016,15.1,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,12870,A,2016,19.5,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,12900,A,2016,14.9,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,12930,A,2016,13.3,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,12950,A,2016,21.1,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,13010,A,2016,14.9,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,13310,A,2016,22.9,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,13340,A,2016,22.7,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,13450,A,2016,9.1,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,13550,A,2016,19.6,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,13660,A,2016,28.8,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,13800,A,2016,23.1,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,13850,A,2016,20.2,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,13910,A,2016,18.2,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,14000,A,2016,16.7,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,14100,A,2016,10.6,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,14170,A,2016,8.7,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,14200,A,2016,13.2,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,14300,A,2016,21,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,14350,A,2016,16.1,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,14400,A,2016,27.4,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,14500,A,2016,12.9,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,14550,A,2016,25.3,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,14600,A,2016,35.2,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,14650,A,2016,19.2,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,14700,A,2016,9.2,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,14750,A,2016,12.2,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,14850,A,2016,14,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,14870,A,2016,22.3,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,14900,A,2016,18.4,KM,,,
ABS:ABS_REGIONAL_LGA2018(1.0.0),COMMUTE_2,LGA2018,14920,A,2016,24.7,KM,,,
