lga_2016,total_families,total_weekly_incomes,total_annual_incomes
10050,11126,2005092,104554626
10130,5954,1014192,52897842
10250,9723,1706996,89031773
10300,463,73078,3814200
10470,8803,1588637,82825125
10550,7547,1184624,61823612
10600,2909,452711,23630523
10650,1770,260422,13595383
10750,77135,14835787,773194606
10800,1203,196902,10271295
10850,1675,282388,14726388
10900,18065,3637259,189533888
10950,539,93134,4855500
11100,10192,2203939,114818133
11150,442,72406,3776495
11200,332,41272,2155392
11250,3858,604431,31535378
11300,7420,1786291,93053511
11350,6209,1103248,57541439
11400,2964,564251,29415082
11450,18771,4128183,215013907
11500,36192,6423980,334967399
11520,20473,6194696,322453725
11570,75446,13173168,686962337
11600,561,137602,7170369
11650,75939,13608691,709596891
11700,294,40236,2100793
11720,12518,2058901,107404644
11730,11765,1606945,83929206
11750,971,205953,10730192
11800,16714,2638507,137682069
12000,943,182373,9509501
12150,728,132711,6922497
12350,2823,483153,25207861
12380,45281,7864017,410112417
12700,2070,400920,20902693
12730,1811,288090,15030580
12750,8691,1236626,64579607
12850,44037,7077868,369283694
12870,2760,437937,22852682
12900,2027,312592,16312387
12930,33574,7780546,405322927
12950,893,137708,7186389
13010,1858,268661,14029579
13310,6587,1153765,60164823
13340,2304,410627,21416182
13450,5336,983870,51301011
13510,2494,407583,21267989
13550,2698,451704,23557286
13660,1142,159052,8305676
13800,14805,3173025,165317498
13850,592,89794,4686490
13910,4075,630491,32908175
14000,33919,9731057,506567960
14100,2923,1567530,81546466
14170,39041,11797300,614049339
14200,3710,543783,28389367
14300,1162,224328,11696963
14350,6416,915255,47800519
14400,5134,1041495,54273246
14500,27690,12448951,647697138
14550,1986,289649,15124183
14600,1239,296639,15461335
14650,47901,8781492,457822559
14700,8451,3591142,186839989
14750,2351,402405,20988488
14850,9444,1468790,76654451
14870,4528,762653,39780391
14900,44676,8552450,445791834
14920,1644,281467,14684795
14950,679,137879,7188998
15050,18535,3434166,179029867
15240,21342,3054463,159508537
15270,5178,882760,46035135
15300,2546,498825,26006048
15350,6402,3564251,185404838
15520,2578,426169,22233877
15560,772,152203,7936501
15650,3515,703251,36650884
15700,4398,620082,32385123
15750,2749,486191,25352590
15800,1184,180584,9423696
15850,1341,234309,12222595
15900,34130,6860056,357502525
15950,15424,6133662,319102860
15990,58063,18281402,951497878
16100,1101,207813,10836793
16150,8788,1655109,86281390
16200,3082,483882,25244667
16260,51606,11539376,601125383
16350,45420,9157939,477230369
16380,18761,2948666,153875282
16400,16151,2675988,139586978
16490,12808,3396565,176837726
16550,27920,8782415,457124671
16610,5059,727697,37999421
16650,24495,4897256,255219740
16700,26418,6782535,353189529
16900,16475,2883097,150347962
16950,23032,3554737,185535001
17000,5112,1045389,54463913
17040,4209,736959,38431869
17080,3099,515507,26891775
17100,8382,2680853,139582783
17150,52242,14326544,745858610
17200,35547,10611014,552280639
17310,13089,2309203,120434572
17350,1375,208634,10890093
17400,1424,178388,9322281
17420,37775,11781644,613219190
17550,20843,3271678,170732774
17620,3063,528286,27546980
17640,1753,316687,16513895
17650,1405,209444,10931690
17750,13569,2583476,134675193
17850,675,105390,5500290
17900,1171,158356,8269282
17950,549,94792,4943897
18020,2018,303447,15840476
18050,13397,5060496,263314634
18100,837,153443,8004096
18200,1419,282146,14710794
18230,10644,1883766,98231863
18250,16842,6327515,329264926
18350,11057,2156318,112400111
18400,11289,2506866,130583264
18450,46156,9017969,470012169
18500,11370,6116733,318179529
18710,3791,959030,49937759
19399,170,30222,1575600
19799,0,0,0
20110,2803,417780,21807467
20260,2423,353658,18461286
20570,22288,3862765,201459618
20660,28499,6680334,347942333
20740,7239,1084031,56591124
20830,11079,1910129,99626294
