lga_2016,state,people,report_type,weekly_range_start,weekly_range_end,annual_range_start,annual_range_end
10050,1,907,value,1000,1249,52000,64999
10130,1,529,value,1000,1249,52000,64999
10250,1,880,value,1000,1249,52000,64999
10300,1,47,value,1000,1249,52000,64999
10470,1,665,value,1000,1249,52000,64999
10550,1,778,value,1000,1249,52000,64999
10600,1,314,value,1000,1249,52000,64999
10650,1,161,value,1000,1249,52000,64999
10750,1,4969,value,1000,1249,52000,64999
10800,1,109,value,1000,1249,52000,64999
10850,1,133,value,1000,1249,52000,64999
10900,1,1247,value,1000,1249,52000,64999
10950,1,46,value,1000,1249,52000,64999
11100,1,607,value,1000,1249,52000,64999
11150,1,42,value,1000,1249,52000,64999
11200,1,43,value,1000,1249,52000,64999
11250,1,371,value,1000,1249,52000,64999
11300,1,474,value,1000,1249,52000,64999
11350,1,560,value,1000,1249,52000,64999
11400,1,218,value,1000,1249,52000,64999
11450,1,885,value,1000,1249,52000,64999
11500,1,2762,value,1000,1249,52000,64999
11520,1,943,value,1000,1249,52000,64999
11570,1,6383,value,1000,1249,52000,64999
11600,1,42,value,1000,1249,52000,64999
11650,1,6272,value,1000,1249,52000,64999
11700,1,37,value,1000,1249,52000,64999
11720,1,1072,value,1000,1249,52000,64999
11730,1,1346,value,1000,1249,52000,64999
11750,1,61,value,1000,1249,52000,64999
11800,1,1676,value,1000,1249,52000,64999
12000,1,77,value,1000,1249,52000,64999
12150,1,70,value,1000,1249,52000,64999
12350,1,297,value,1000,1249,52000,64999
12380,1,3935,value,1000,1249,52000,64999
12700,1,157,value,1000,1249,52000,64999
12730,1,144,value,1000,1249,52000,64999
12750,1,980,value,1000,1249,52000,64999
12850,1,4133,value,1000,1249,52000,64999
12870,1,272,value,1000,1249,52000,64999
12900,1,197,value,1000,1249,52000,64999
12930,1,2163,value,1000,1249,52000,64999
12950,1,90,value,1000,1249,52000,64999
13010,1,202,value,1000,1249,52000,64999
13310,1,565,value,1000,1249,52000,64999
13340,1,213,value,1000,1249,52000,64999
13450,1,417,value,1000,1249,52000,64999
13510,1,248,value,1000,1249,52000,64999
13550,1,204,value,1000,1249,52000,64999
13660,1,112,value,1000,1249,52000,64999
13800,1,892,value,1000,1249,52000,64999
13850,1,52,value,1000,1249,52000,64999
13910,1,391,value,1000,1249,52000,64999
14000,1,1497,value,1000,1249,52000,64999
14100,1,86,value,1000,1249,52000,64999
14170,1,1606,value,1000,1249,52000,64999
14200,1,389,value,1000,1249,52000,64999
14300,1,96,value,1000,1249,52000,64999
14350,1,743,value,1000,1249,52000,64999
14400,1,378,value,1000,1249,52000,64999
14500,1,923,value,1000,1249,52000,64999
14550,1,227,value,1000,1249,52000,64999
14600,1,106,value,1000,1249,52000,64999
14650,1,3769,value,1000,1249,52000,64999
14700,1,258,value,1000,1249,52000,64999
14750,1,201,value,1000,1249,52000,64999
14850,1,911,value,1000,1249,52000,64999
14870,1,423,value,1000,1249,52000,64999
14900,1,3267,value,1000,1249,52000,64999
14920,1,148,value,1000,1249,52000,64999
14950,1,65,value,1000,1249,52000,64999
15050,1,1377,value,1000,1249,52000,64999
15240,1,2447,value,1000,1249,52000,64999
15270,1,432,value,1000,1249,52000,64999
15300,1,190,value,1000,1249,52000,64999
15350,1,168,value,1000,1249,52000,64999
15520,1,228,value,1000,1249,52000,64999
15560,1,66,value,1000,1249,52000,64999
15650,1,253,value,1000,1249,52000,64999
15700,1,497,value,1000,1249,52000,64999
15750,1,214,value,1000,1249,52000,64999
15800,1,104,value,1000,1249,52000,64999
15850,1,110,value,1000,1249,52000,64999
15900,1,2419,value,1000,1249,52000,64999
15950,1,334,value,1000,1249,52000,64999
15990,1,2358,value,1000,1249,52000,64999
16100,1,67,value,1000,1249,52000,64999
16150,1,617,value,1000,1249,52000,64999
16200,1,259,value,1000,1249,52000,64999
16260,1,2953,value,1000,1249,52000,64999
16350,1,2824,value,1000,1249,52000,64999
16380,1,1966,value,1000,1249,52000,64999
16400,1,1439,value,1000,1249,52000,64999
16490,1,591,value,1000,1249,52000,64999
16550,1,1237,value,1000,1249,52000,64999
16610,1,543,value,1000,1249,52000,64999
16650,1,1720,value,1000,1249,52000,64999
16700,1,1391,value,1000,1249,52000,64999
16900,1,1273,value,1000,1249,52000,64999
16950,1,2388,value,1000,1249,52000,64999
17000,1,295,value,1000,1249,52000,64999
17040,1,305,value,1000,1249,52000,64999
17080,1,245,value,1000,1249,52000,64999
17100,1,498,value,1000,1249,52000,64999
17150,1,2550,value,1000,1249,52000,64999
17200,1,1391,value,1000,1249,52000,64999
17310,1,1132,value,1000,1249,52000,64999
17350,1,128,value,1000,1249,52000,64999
17400,1,153,value,1000,1249,52000,64999
17420,1,1581,value,1000,1249,52000,64999
17550,1,2022,value,1000,1249,52000,64999
17620,1,240,value,1000,1249,52000,64999
17640,1,158,value,1000,1249,52000,64999
17650,1,141,value,1000,1249,52000,64999
17750,1,1004,value,1000,1249,52000,64999
17850,1,63,value,1000,1249,52000,64999
17900,1,129,value,1000,1249,52000,64999
17950,1,45,value,1000,1249,52000,64999
18020,1,220,value,1000,1249,52000,64999
18050,1,455,value,1000,1249,52000,64999
18100,1,88,value,1000,1249,52000,64999
18200,1,131,value,1000,1249,52000,64999
18230,1,847,value,1000,1249,52000,64999
18250,1,636,value,1000,1249,52000,64999
18350,1,880,value,1000,1249,52000,64999
18400,1,623,value,1000,1249,52000,64999
18450,1,3294,value,1000,1249,52000,64999
18500,1,283,value,1000,1249,52000,64999
18710,1,194,value,1000,1249,52000,64999
19399,1,15,value,1000,1249,52000,64999
19799,1,0,value,1000,1249,52000,64999
20110,2,282,value,1000,1249,52000,64999
20260,2,263,value,1000,1249,52000,64999
20570,2,1894,value,1000,1249,52000,64999
20660,2,1703,value,1000,1249,52000,64999
20740,2,772,value,1000,1249,52000,64999
20830,2,977,value,1000,1249,52000,64999
20910,2,843,value,1000,1249,52000,64999
21010,2,347,value,1000,1249,52000,64999
21110,2,1472,value,1000,1249,52000,64999
21180,2,3866,value,1000,1249,52000,64999
21270,2,157,value,1000,1249,52000,64999
21370,2,752,value,1000,1249,52000,64999
21450,2,1535,value,1000,1249,52000,64999
21610,2,5042,value,1000,1249,52000,64999
21670,2,365,value,1000,1249,52000,64999
21750,2,433,value,1000,1249,52000,64999
21830,2,327,value,1000,1249,52000,64999
21890,2,2096,value,1000,1249,52000,64999
22110,2,1083,value,1000,1249,52000,64999
22170,2,2349,value,1000,1249,52000,64999
22250,2,275,value,1000,1249,52000,64999
22310,2,1539,value,1000,1249,52000,64999
22410,2,411,value,1000,1249,52000,64999
22490,2,357,value,1000,1249,52000,64999
22620,2,2238,value,1000,1249,52000,64999
22670,2,3261,value,1000,1249,52000,64999
22750,2,4208,value,1000,1249,52000,64999
22830,2,1183,value,1000,1249,52000,64999
22910,2,373,value,1000,1249,52000,64999
22980,2,129,value,1000,1249,52000,64999
23110,2,1324,value,1000,1249,52000,64999
23190,2,431,value,1000,1249,52000,64999
23270,2,3757,value,1000,1249,52000,64999
23350,2,305,value,1000,1249,52000,64999
23430,2,2293,value,1000,1249,52000,64999
23670,2,2488,value,1000,1249,52000,64999
23810,2,1397,value,1000,1249,52000,64999
23940,2,179,value,1000,1249,52000,64999
24130,2,654,value,1000,1249,52000,64999
24210,2,1821,value,1000,1249,52000,64999
24250,2,157,value,1000,1249,52000,64999
24330,2,1088,value,1000,1249,52000,64999
24410,2,1698,value,1000,1249,52000,64999
24600,2,1033,value,1000,1249,52000,64999
24650,2,2116,value,1000,1249,52000,64999
24780,2,1125,value,1000,1249,52000,64999
24850,2,699,value,1000,1249,52000,64999
24900,2,625,value,1000,1249,52000,64999
24970,2,2659,value,1000,1249,52000,64999
25060,2,1485,value,1000,1249,52000,64999
25150,2,521,value,1000,1249,52000,64999
25250,2,2300,value,1000,1249,52000,64999
25340,2,2899,value,1000,1249,52000,64999
25430,2,409,value,1000,1249,52000,64999
25490,2,316,value,1000,1249,52000,64999
25620,2,242,value,1000,1249,52000,64999
25710,2,659,value,1000,1249,52000,64999
25810,2,269,value,1000,1249,52000,64999
25900,2,727,value,1000,1249,52000,64999
25990,2,152,value,1000,1249,52000,64999
26080,2,74,value,1000,1249,52000,64999
26170,2,688,value,1000,1249,52000,64999
26260,2,353,value,1000,1249,52000,64999
26350,2,749,value,1000,1249,52000,64999
26430,2,214,value,1000,1249,52000,64999
26490,2,399,value,1000,1249,52000,64999
26610,2,377,value,1000,1249,52000,64999
26670,2,128,value,1000,1249,52000,64999
26700,2,641,value,1000,1249,52000,64999
26730,2,642,value,1000,1249,52000,64999
26810,2,846,value,1000,1249,52000,64999
26890,2,96,value,1000,1249,52000,64999
