lga_2016,state,industry_people,industry_type,industry_type_full,lga_total_industry_people
10050,1,1926,hospitality,accommodation_and_food_services,22907
10130,1,958,hospitality,accommodation_and_food_services,12327
10250,1,1506,hospitality,accommodation_and_food_services,17463
10300,1,66,hospitality,accommodation_and_food_services,982
10470,1,1311,hospitality,accommodation_and_food_services,18165
10550,1,1416,hospitality,accommodation_and_food_services,13153
10600,1,388,hospitality,accommodation_and_food_services,4890
10650,1,283,hospitality,accommodation_and_food_services,3282
10750,1,8448,hospitality,accommodation_and_food_services,151468
10800,1,146,hospitality,accommodation_and_food_services,2541
10850,1,175,hospitality,accommodation_and_food_services,3222
10900,1,2636,hospitality,accommodation_and_food_services,35860
10950,1,61,hospitality,accommodation_and_food_services,1173
11100,1,1911,hospitality,accommodation_and_food_services,22963
11150,1,61,hospitality,accommodation_and_food_services,1000
11200,1,16,hospitality,accommodation_and_food_services,498
11250,1,664,hospitality,accommodation_and_food_services,6902
11300,1,1786,hospitality,accommodation_and_food_services,17174
11350,1,1621,hospitality,accommodation_and_food_services,13557
11400,1,285,hospitality,accommodation_and_food_services,6032
11450,1,2069,hospitality,accommodation_and_food_services,40014
11500,1,4328,hospitality,accommodation_and_food_services,68841
11520,1,2877,hospitality,accommodation_and_food_services,44699
11570,1,10055,hospitality,accommodation_and_food_services,138192
11600,1,77,hospitality,accommodation_and_food_services,1384
11650,1,10589,hospitality,accommodation_and_food_services,139593
11700,1,36,hospitality,accommodation_and_food_services,564
11720,1,2203,hospitality,accommodation_and_food_services,21626
11730,1,1619,hospitality,accommodation_and_food_services,17565
11750,1,119,hospitality,accommodation_and_food_services,2014
11800,1,2824,hospitality,accommodation_and_food_services,29620
12000,1,70,hospitality,accommodation_and_food_services,1728
12150,1,55,hospitality,accommodation_and_food_services,1419
12350,1,358,hospitality,accommodation_and_food_services,4811
12380,1,6609,hospitality,accommodation_and_food_services,86838
12700,1,200,hospitality,accommodation_and_food_services,3885
12730,1,257,hospitality,accommodation_and_food_services,3812
12750,1,1416,hospitality,accommodation_and_food_services,12976
12850,1,4722,hospitality,accommodation_and_food_services,71899
12870,1,379,hospitality,accommodation_and_food_services,4970
12900,1,208,hospitality,accommodation_and_food_services,3944
12930,1,5900,hospitality,accommodation_and_food_services,69537
12950,1,105,hospitality,accommodation_and_food_services,1783
13010,1,258,hospitality,accommodation_and_food_services,3224
13310,1,994,hospitality,accommodation_and_food_services,12722
13340,1,231,hospitality,accommodation_and_food_services,4614
13450,1,608,hospitality,accommodation_and_food_services,11713
13510,1,323,hospitality,accommodation_and_food_services,4382
13550,1,368,hospitality,accommodation_and_food_services,5381
13660,1,83,hospitality,accommodation_and_food_services,2083
13800,1,1713,hospitality,accommodation_and_food_services,32329
13850,1,85,hospitality,accommodation_and_food_services,1296
13910,1,426,hospitality,accommodation_and_food_services,7563
14000,1,3552,hospitality,accommodation_and_food_services,70798
14100,1,304,hospitality,accommodation_and_food_services,6240
14170,1,6882,hospitality,accommodation_and_food_services,99575
14200,1,385,hospitality,accommodation_and_food_services,6393
14300,1,122,hospitality,accommodation_and_food_services,2318
14350,1,840,hospitality,accommodation_and_food_services,9463
14400,1,825,hospitality,accommodation_and_food_services,9488
14500,1,2632,hospitality,accommodation_and_food_services,54920
14550,1,141,hospitality,accommodation_and_food_services,3239
14600,1,110,hospitality,accommodation_and_food_services,2472
14650,1,5771,hospitality,accommodation_and_food_services,85264
14700,1,970,hospitality,accommodation_and_food_services,19292
14750,1,238,hospitality,accommodation_and_food_services,4705
14850,1,1288,hospitality,accommodation_and_food_services,18168
14870,1,701,hospitality,accommodation_and_food_services,7798
14900,1,4737,hospitality,accommodation_and_food_services,83905
14920,1,156,hospitality,accommodation_and_food_services,3013
14950,1,41,hospitality,accommodation_and_food_services,1294
15050,1,2474,hospitality,accommodation_and_food_services,34692
15240,1,2753,hospitality,accommodation_and_food_services,30032
15270,1,758,hospitality,accommodation_and_food_services,9689
15300,1,299,hospitality,accommodation_and_food_services,5521
15350,1,719,hospitality,accommodation_and_food_services,13999
15520,1,573,hospitality,accommodation_and_food_services,4994
15560,1,78,hospitality,accommodation_and_food_services,1716
15650,1,437,hospitality,accommodation_and_food_services,6732
15700,1,571,hospitality,accommodation_and_food_services,6229
15750,1,352,hospitality,accommodation_and_food_services,5657
15800,1,132,hospitality,accommodation_and_food_services,2325
15850,1,102,hospitality,accommodation_and_food_services,2592
15900,1,6290,hospitality,accommodation_and_food_services,73034
15950,1,2015,hospitality,accommodation_and_food_services,40445
15990,1,7764,hospitality,accommodation_and_food_services,129685
16100,1,144,hospitality,accommodation_and_food_services,2241
16150,1,1228,hospitality,accommodation_and_food_services,17805
16200,1,431,hospitality,accommodation_and_food_services,5840
16260,1,6252,hospitality,accommodation_and_food_services,106593
16350,1,5592,hospitality,accommodation_and_food_services,94859
16380,1,2699,hospitality,accommodation_and_food_services,29655
16400,1,2476,hospitality,accommodation_and_food_services,27602
16490,1,1563,hospitality,accommodation_and_food_services,29389
16550,1,4616,hospitality,accommodation_and_food_services,68276
16610,1,593,hospitality,accommodation_and_food_services,8265
16650,1,4984,hospitality,accommodation_and_food_services,52827
16700,1,3829,hospitality,accommodation_and_food_services,57245
16900,1,2119,hospitality,accommodation_and_food_services,29606
16950,1,3497,hospitality,accommodation_and_food_services,36330
17000,1,819,hospitality,accommodation_and_food_services,10822
17040,1,1345,hospitality,accommodation_and_food_services,9860
17080,1,404,hospitality,accommodation_and_food_services,5991
17100,1,1628,hospitality,accommodation_and_food_services,19618
17150,1,6118,hospitality,accommodation_and_food_services,112765
17200,1,14163,hospitality,accommodation_and_food_services,117252
17310,1,1759,hospitality,accommodation_and_food_services,25997
17350,1,157,hospitality,accommodation_and_food_services,2514
17400,1,163,hospitality,accommodation_and_food_services,2361
17420,1,3801,hospitality,accommodation_and_food_services,80179
17550,1,3683,hospitality,accommodation_and_food_services,35731
17620,1,397,hospitality,accommodation_and_food_services,6298
17640,1,180,hospitality,accommodation_and_food_services,3528
17650,1,159,hospitality,accommodation_and_food_services,2633
17750,1,2131,hospitality,accommodation_and_food_services,29834
17850,1,65,hospitality,accommodation_and_food_services,1414
17900,1,166,hospitality,accommodation_and_food_services,2060
17950,1,43,hospitality,accommodation_and_food_services,1149
18020,1,184,hospitality,accommodation_and_food_services,3335
18050,1,2617,hospitality,accommodation_and_food_services,36426
18100,1,56,hospitality,accommodation_and_food_services,1437
18200,1,207,hospitality,accommodation_and_food_services,2786
18230,1,1645,hospitality,accommodation_and_food_services,22142
18250,1,2338,hospitality,accommodation_and_food_services,36309
18350,1,1853,hospitality,accommodation_and_food_services,20644
18400,1,1161,hospitality,accommodation_and_food_services,24054
18450,1,6566,hospitality,accommodation_and_food_services,88251
18500,1,1499,hospitality,accommodation_and_food_services,28005
18710,1,545,hospitality,accommodation_and_food_services,8076
19399,1,105,hospitality,accommodation_and_food_services,599
19499,1,389,hospitality,accommodation_and_food_services,3331
19799,1,9,hospitality,accommodation_and_food_services,130
20110,2,758,hospitality,accommodation_and_food_services,5488
20260,2,290,hospitality,accommodation_and_food_services,4708
20570,2,3454,hospitality,accommodation_and_food_services,44716
20660,2,2920,hospitality,accommodation_and_food_services,58915
20740,2,1162,hospitality,accommodation_and_food_services,12537
20830,2,1297,hospitality,accommodation_and_food_services,21255
